t,ax,ay,az
9.80569052696228,0.1601,0.1827,-0.4783
9.817572832107544,0.1751,0.2291,-0.5496
9.826155424118042,0.1769,0.2289,-0.6639
9.837806224822998,0.2092,0.2091,-0.6807
9.846610069274902,0.1669,0.2009,-0.6384
9.854822158813477,0.2001,0.1863,-0.4991
9.867096424102783,0.1651,0.0722,-0.4714
9.875308752059937,0.1262,0.0023,-0.365
9.887418270111084,0.0417,-0.1093,-0.1575
9.895916938781738,-0.0611,-0.1617,0.1918
9.907595157623291,-0.173,-0.2005,0.5439
9.916435956954956,-0.2529,-0.2726,0.7767
9.927931547164917,-0.2931,-0.3033,0.8383
9.936851501464844,-0.274,-0.2745,0.7831
9.945039510726929,-0.236,-0.2187,0.636
9.95727276802063,-0.2446,-0.2469,0.5427
9.966558694839478,-0.1681,-0.1936,0.4269
9.977566003799438,-0.1409,-0.1428,0.1904
9.986167430877686,-0.1052,-0.1132,0.0572
9.997846126556396,0.0106,-0.0879,-0.061
10.006479740142822,0.0767,-0.0109,-0.2303
