t,msg_type,payload
1773704294.736207,ReferenceFreqMsg,"{'t': 1773704294.736207, 'f_ref': 7.5}"
1773704294.737623,ReferenceFreqMsg,"{'t': 1773704294.737623, 'f_ref': 7.5}"
1773704294.7390454,ReferenceFreqMsg,"{'t': 1773704294.7390454, 'f_ref': 7.5}"
1773704294.7404528,ReferenceFreqMsg,"{'t': 1773704294.7404528, 'f_ref': 7.5}"
1773704294.7419045,ReferenceFreqMsg,"{'t': 1773704294.7419045, 'f_ref': 7.5}"
1773704294.7435248,ReferenceFreqMsg,"{'t': 1773704294.7435248, 'f_ref': 7.5}"
1773704294.745376,ReferenceFreqMsg,"{'t': 1773704294.745376, 'f_ref': 7.5}"
1773704294.746868,ReferenceFreqMsg,"{'t': 1773704294.746868, 'f_ref': 7.5}"
1773704294.748722,ReferenceFreqMsg,"{'t': 1773704294.748722, 'f_ref': 7.5}"
1773704294.7503881,ReferenceFreqMsg,"{'t': 1773704294.7503881, 'f_ref': 7.5}"
1773704294.7522337,ReferenceFreqMsg,"{'t': 1773704294.7522337, 'f_ref': 7.5}"
1773704294.7536762,ReferenceFreqMsg,"{'t': 1773704294.7536762, 'f_ref': 7.5}"
1773704294.7551086,ReferenceFreqMsg,"{'t': 1773704294.7551086, 'f_ref': 7.5}"
1773704294.7570071,ReferenceFreqMsg,"{'t': 1773704294.7570071, 'f_ref': 7.5}"
1773704294.7583692,ReferenceFreqMsg,"{'t': 1773704294.7583692, 'f_ref': 7.5}"
1773704294.7598653,ReferenceFreqMsg,"{'t': 1773704294.7598653, 'f_ref': 7.5}"
1773704294.761329,ReferenceFreqMsg,"{'t': 1773704294.761329, 'f_ref': 7.5}"
1773704294.7627912,ReferenceFreqMsg,"{'t': 1773704294.7627912, 'f_ref': 7.5}"
1773704294.7645555,ReferenceFreqMsg,"{'t': 1773704294.7645555, 'f_ref': 7.5}"
1773704294.7664535,ReferenceFreqMsg,"{'t': 1773704294.7664535, 'f_ref': 7.5}"
1773704294.768053,ReferenceFreqMsg,"{'t': 1773704294.768053, 'f_ref': 7.5}"
1773704294.7695959,ReferenceFreqMsg,"{'t': 1773704294.7695959, 'f_ref': 7.5}"
1773704294.771376,ReferenceFreqMsg,"{'t': 1773704294.771376, 'f_ref': 7.5}"
1773704294.7732663,ReferenceFreqMsg,"{'t': 1773704294.7732663, 'f_ref': 7.5}"
